Remove Pin=RN1A-8 From Net=VIN
Remove Pin=U2A-2 From Net=+3V3
Remove Pin=U2B-5 From Net=SCK
Change Component Designator: OldDesignator=AD1 NewDesignator=AD?
Change Component Designator: OldDesignator=C1 NewDesignator=C?
Change Component Designator: OldDesignator=C2 NewDesignator=C?
Change Component Designator: OldDesignator=C3 NewDesignator=C?
Change Component Designator: OldDesignator=C4 NewDesignator=C?
Change Component Designator: OldDesignator=C5 NewDesignator=C?
Change Component Designator: OldDesignator=C6 NewDesignator=C?
Change Component Designator: OldDesignator=C7 NewDesignator=C?
Change Component Designator: OldDesignator=C8 NewDesignator=C?
Change Component Designator: OldDesignator=C9 NewDesignator=C?
Change Component Designator: OldDesignator=C10 NewDesignator=C?
Change Component Designator: OldDesignator=C11 NewDesignator=C?
Change Component Designator: OldDesignator=D1 NewDesignator=D?
Change Component Designator: OldDesignator=D2 NewDesignator=D?
Change Component Designator: OldDesignator=D3 NewDesignator=D?
Change Component Designator: OldDesignator=F1 NewDesignator=F?
Change Component Designator: OldDesignator=FD1 NewDesignator=FD?
Change Component Designator: OldDesignator=FD2 NewDesignator=FD?
Change Component Designator: OldDesignator=FD3 NewDesignator=FD?
Change Component Designator: OldDesignator=GROUND1 NewDesignator=GROUND?
Change Component Designator: OldDesignator=ICSP1 NewDesignator=ICSP?
Change Component Designator: OldDesignator=ICSP2 NewDesignator=ICSP?
Change Component Designator: OldDesignator=IOH1 NewDesignator=IOH?
Change Component Designator: OldDesignator=IOL1 NewDesignator=IOL?
Change Component Designator: OldDesignator=JP1 NewDesignator=JP?
Change Component Designator: OldDesignator=L1 NewDesignator=L?
Change Component Designator: OldDesignator=L2 NewDesignator=L?
Change Component Designator: OldDesignator=L3 NewDesignator=L?
Change Component Designator: OldDesignator=ON1 NewDesignator=ON?
Change Component Designator: OldDesignator=ORIGIN1 NewDesignator=ORIGIN?
Change Component Designator: OldDesignator=PC1 NewDesignator=PC?
Change Component Designator: OldDesignator=PC2 NewDesignator=PC?
Change Component Designator: OldDesignator=POWER1 NewDesignator=POWER?
Change Component Designator: OldDesignator=R1 NewDesignator=R?
Change Component Designator: OldDesignator=R2 NewDesignator=R?
Change Component Designator: OldDesignator=RESET1 NewDesignator=RESET?
Change Component Designator: OldDesignator=RESET-EN1 NewDesignator=RESET-EN?
Change Component Designator: OldDesignator=RN1 NewDesignator=RN?
Change Component Designator: OldDesignator=RN1 NewDesignator=RN?
Change Component Designator: OldDesignator=RN1 NewDesignator=RN?
Change Component Designator: OldDesignator=RN1 NewDesignator=RN?
Change Component Designator: OldDesignator=RN2 NewDesignator=RN?
Change Component Designator: OldDesignator=RN2 NewDesignator=RN?
Change Component Designator: OldDesignator=RN2 NewDesignator=RN?
Change Component Designator: OldDesignator=RN2 NewDesignator=RN?
Change Component Designator: OldDesignator=RN3 NewDesignator=RN?
Change Component Designator: OldDesignator=RN3 NewDesignator=RN?
Change Component Designator: OldDesignator=RN3 NewDesignator=RN?
Change Component Designator: OldDesignator=RN3 NewDesignator=RN?
Change Component Designator: OldDesignator=RN4 NewDesignator=RN?
Change Component Designator: OldDesignator=RN4 NewDesignator=RN?
Change Component Designator: OldDesignator=RN4 NewDesignator=RN?
Change Component Designator: OldDesignator=RN4 NewDesignator=RN?
Change Component Designator: OldDesignator=RX1 NewDesignator=RX?
Change Component Designator: OldDesignator=T1 NewDesignator=T?
Change Component Designator: OldDesignator=TP_1 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_2 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_3 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_4 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_5 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_6 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_7 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_8 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_9 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_10 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_11 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_12 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_13 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_14 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_15 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_16 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_17 NewDesignator=TP_?
Change Component Designator: OldDesignator=TP_A1 NewDesignator=TP_A?
Change Component Designator: OldDesignator=TP_A2 NewDesignator=TP_A?
Change Component Designator: OldDesignator=TP_A3 NewDesignator=TP_A?
Change Component Designator: OldDesignator=TP_A4 NewDesignator=TP_A?
Change Component Designator: OldDesignator=TP_A5 NewDesignator=TP_A?
Change Component Designator: OldDesignator=TP_A6 NewDesignator=TP_A?
Change Component Designator: OldDesignator=TP_AREF1 NewDesignator=TP_AREF?
Change Component Designator: OldDesignator=TP_CMP1 NewDesignator=TP_CMP?
Change Component Designator: OldDesignator=TP_D-1 NewDesignator=TP_D-?
Change Component Designator: OldDesignator=TP_D+1 NewDesignator=TP_D+?
Change Component Designator: OldDesignator=TP_DTR1 NewDesignator=TP_DTR?
Change Component Designator: OldDesignator=TP_GATE1 NewDesignator=TP_GATE?
Change Component Designator: OldDesignator=TP_LCMD1 NewDesignator=TP_LCMD?
Change Component Designator: OldDesignator=TP_LL1 NewDesignator=TP_LL?
Change Component Designator: OldDesignator=TP_MISO1 NewDesignator=TP_MISO?
Change Component Designator: OldDesignator=TP_MOSI1 NewDesignator=TP_MOSI?
Change Component Designator: OldDesignator=TP_ONL1 NewDesignator=TP_ONL?
Change Component Designator: OldDesignator=TP_PB1 NewDesignator=TP_PB?
Change Component Designator: OldDesignator=TP_PB2 NewDesignator=TP_PB?
Change Component Designator: OldDesignator=TP_PB3 NewDesignator=TP_PB?
Change Component Designator: OldDesignator=TP_PB4 NewDesignator=TP_PB?
Change Component Designator: OldDesignator=TP_PWRIN1 NewDesignator=TP_PWRIN?
Change Component Designator: OldDesignator=TP_RESET1 NewDesignator=TP_RESET?
Change Component Designator: OldDesignator=TP_RESET2 NewDesignator=TP_RESET?
Change Component Designator: OldDesignator=TP_RX1 NewDesignator=TP_RX?
Change Component Designator: OldDesignator=TP_RXL1 NewDesignator=TP_RXL?
Change Component Designator: OldDesignator=TP_SCK1 NewDesignator=TP_SCK?
Change Component Designator: OldDesignator=TP_SCL1 NewDesignator=TP_SCL?
Change Component Designator: OldDesignator=TP_SDA1 NewDesignator=TP_SDA?
Change Component Designator: OldDesignator=TP_TX1 NewDesignator=TP_TX?
Change Component Designator: OldDesignator=TP_TXL1 NewDesignator=TP_TXL?
Change Component Designator: OldDesignator=TP_UGND1 NewDesignator=TP_UGND?
Change Component Designator: OldDesignator=TP_USBVCC1 NewDesignator=TP_USBVCC?
Change Component Designator: OldDesignator=TP_USH1 NewDesignator=TP_USH?
Change Component Designator: OldDesignator=TP_VIN1 NewDesignator=TP_VIN?
Change Component Designator: OldDesignator=TP_VUCAP1 NewDesignator=TP_VUCAP?
Change Component Designator: OldDesignator=TP_XT1 NewDesignator=TP_XT?
Change Component Designator: OldDesignator=TP_XT2 NewDesignator=TP_XT?
Change Component Designator: OldDesignator=TP_XT3 NewDesignator=TP_XT?
Change Component Designator: OldDesignator=TP_XT4 NewDesignator=TP_XT?
Change Component Designator: OldDesignator=TP_XUSB1 NewDesignator=TP_XUSB?
Change Component Designator: OldDesignator=TX1 NewDesignator=TX?
Change Component Designator: OldDesignator=U1 NewDesignator=U?
Change Component Designator: OldDesignator=U2 NewDesignator=U?
Change Component Designator: OldDesignator=U2 NewDesignator=U?
Change Component Designator: OldDesignator=U2 NewDesignator=U?
Change Component Designator: OldDesignator=U3 NewDesignator=U?
Change Component Designator: OldDesignator=U4 NewDesignator=U?
Change Component Designator: OldDesignator=X1 NewDesignator=X?
Change Component Designator: OldDesignator=X2 NewDesignator=X?
Change Component Designator: OldDesignator=Y1 NewDesignator=Y?
Change Component Designator: OldDesignator=Y2 NewDesignator=Y?
Change Component Designator: OldDesignator=Z1 NewDesignator=Z?
Change Component Designator: OldDesignator=Z2 NewDesignator=Z?
Change Component Designator: OldDesignator=ZU1 NewDesignator=ZU?
